OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00068923,E01013657,4,Multicultural Metropolitans,453
E00068921,E01013652,4,Multicultural Metropolitans,448
E00168102,E01013676,5,Urbanites,264
E00168104,E01013762,4,Multicultural Metropolitans,391
E00068877,E01013650,2,Cosmopolitans,277
E00169513,E01013681,4,Multicultural Metropolitans,245
E00068875,E01013650,2,Cosmopolitans,350
E00068873,E01013642,2,Cosmopolitans,352
E00068878,E01013643,2,Cosmopolitans,313
E00068879,E01013642,2,Cosmopolitans,351
E00069007,E01013669,4,Multicultural Metropolitans,324
E00069086,E01013684,4,Multicultural Metropolitans,313
E00069082,E01013682,4,Multicultural Metropolitans,250
E00069003,E01013669,4,Multicultural Metropolitans,369
E00069081,E01013682,4,Multicultural Metropolitans,194
E00069000,E01013668,3,Ethnicity Central,192
E00069080,E01013682,4,Multicultural Metropolitans,243
E00069001,E01013668,4,Multicultural Metropolitans,320
E00069008,E01013669,6,Suburbanites,345
E00069088,E01013684,4,Multicultural Metropolitans,300
E00069009,E01013670,6,Suburbanites,287
E00069350,E01013746,4,Multicultural Metropolitans,343
E00069355,E01013743,4,Multicultural Metropolitans,495
E00069352,E01013743,4,Multicultural Metropolitans,406
E00069353,E01013742,4,Multicultural Metropolitans,548
E00069351,E01013742,4,Multicultural Metropolitans,373
E00069359,E01013744,4,Multicultural Metropolitans,394
E00069260,E01013730,7,Constrained City Dwellers,251
E00069266,E01013728,8,Hard-Pressed Living,254
E00069267,E01013727,7,Constrained City Dwellers,164
E00069264,E01013729,5,Urbanites,387
E00069263,E01013729,6,Suburbanites,297
E00069265,E01013727,8,Hard-Pressed Living,305
E00069269,E01013730,7,Constrained City Dwellers,179
E00069506,E01013779,4,Multicultural Metropolitans,333
E00169502,E01013607,2,Cosmopolitans,212
E00069507,E01013774,4,Multicultural Metropolitans,354
E00169500,E01032867,2,Cosmopolitans,198
E00069505,E01013778,4,Multicultural Metropolitans,321
E00069502,E01013777,4,Multicultural Metropolitans,249
E00169506,E01013755,3,Ethnicity Central,521
E00069503,E01013778,3,Ethnicity Central,225
E00069501,E01013777,4,Multicultural Metropolitans,190
E00169508,E01013684,4,Multicultural Metropolitans,420
E00169509,E01013683,4,Multicultural Metropolitans,273
E00069508,E01013779,4,Multicultural Metropolitans,314
E00069509,E01013779,2,Cosmopolitans,257
E00169453,E01032867,3,Ethnicity Central,223
